t, c	M(t), рад	E(t), рад	Teta(t), с	
587	0.409121	-0.771219	5.07257
588	0.409818	-0.770522	5.07351
589	0.410515	-0.769825	5.07444
590	0.411212	-0.769128	5.07538
591	0.411909	-0.768431	5.07632
592	0.412606	-0.767734	5.07725
593	0.413303	-0.767037	5.07819
594	0.414	-0.76634	5.07913
595	0.414697	-0.765643	5.08007
596	0.415394	-0.764946	5.08101
597	0.416091	-0.764249	5.08194
598	0.416788	-0.763552	5.08288
599	0.417485	-0.762855	5.08382
600	0.418182	-0.762158	5.08476
601	0.418879	-0.761461	5.0857
602	0.419576	-0.760764	5.08664
603	0.420273	-0.760067	5.08759
604	0.42097	-0.75937	5.08853
605	0.421667	-0.758673	5.08947
606	0.422364	-0.757976	5.09041
607	0.423061	-0.757279	5.09135
608	0.423758	-0.756582	5.0923
609	0.424455	-0.755885	5.09324
610	0.425152	-0.755188	5.09418
611	0.425849	-0.754491	5.09513
612	0.426546	-0.753794	5.09607
613	0.427243	-0.753098	5.09702
614	0.42794	-0.752401	5.09796
615	0.428637	-0.751704	5.09891
616	0.429334	-0.751007	5.09985
617	0.430031	-0.75031	5.1008
618	0.430728	-0.749613	5.10174
619	0.431424	-0.748916	5.10269
620	0.432121	-0.748219	5.10364
621	0.432818	-0.747522	5.10458
622	0.433515	-0.746825	5.10553
623	0.434212	-0.746128	5.10648
624	0.434909	-0.745431	5.10743
625	0.435606	-0.744734	5.10838
626	0.436303	-0.744037	5.10932
627	0.437	-0.74334	5.11027
628	0.437697	-0.742643	5.11122
629	0.438394	-0.741946	5.11217
630	0.439091	-0.741249	5.11312
631	0.439788	-0.740552	5.11407
632	0.440485	-0.739855	5.11503
633	0.441182	-0.739158	5.11598
634	0.441879	-0.738461	5.11693
635	0.442576	-0.737764	5.11788
636	0.443273	-0.737067	5.11883
637	0.44397	-0.73637	5.11979
638	0.444667	-0.735673	5.12074
639	0.445364	-0.734976	5.12169
640	0.446061	-0.734279	5.12265
641	0.446758	-0.733582	5.1236
642	0.447455	-0.732885	5.12455
643	0.448152	-0.732188	5.12551
644	0.448849	-0.731491	5.12646
645	0.449546	-0.730794	5.12742
646	0.450243	-0.730098	5.12837
647	0.45094	-0.729401	5.12933
648	0.451637	-0.728704	5.13029
649	0.452334	-0.728007	5.13124
650	0.453031	-0.72731	5.1322
651	0.453728	-0.726613	5.13316
652	0.454424	-0.725916	5.13412
653	0.455121	-0.725219	5.13507
654	0.455818	-0.724522	5.13603
655	0.456515	-0.723825	5.13699
656	0.457212	-0.723128	5.13795
657	0.457909	-0.722431	5.13891
658	0.458606	-0.721734	5.13987
659	0.459303	-0.721037	5.14083
660	0.46	-0.72034	5.14179
661	0.460697	-0.719643	5.14275
662	0.461394	-0.718946	5.14371
663	0.462091	-0.718249	5.14467
664	0.462788	-0.717552	5.14564
665	0.463485	-0.716855	5.1466
666	0.464182	-0.716158	5.14756
667	0.464879	-0.715461	5.14852
668	0.465576	-0.714764	5.14949
669	0.466273	-0.714067	5.15045
670	0.46697	-0.71337	5.15141
671	0.467667	-0.712673	5.15238
672	0.468364	-0.711976	5.15334
673	0.469061	-0.711279	5.15431
674	0.469758	-0.710582	5.15527
675	0.470455	-0.709885	5.15624
676	0.471152	-0.709188	5.1572
677	0.471849	-0.708491	5.15817
678	0.472546	-0.707794	5.15914
679	0.473243	-0.707098	5.1601
680	0.47394	-0.706401	5.16107
681	0.474637	-0.705704	5.16204
682	0.475334	-0.705007	5.16301
683	0.476031	-0.70431	5.16398
684	0.476728	-0.703613	5.16494
685	0.477425	-0.702916	5.16591
686	0.478121	-0.702219	5.16688
687	0.478818	-0.701522	5.16785
688	0.479515	-0.700825	5.16882
689	0.480212	-0.700128	5.16979
690	0.480909	-0.699431	5.17076
691	0.481606	-0.698734	5.17173
692	0.482303	-0.698037	5.17271
693	0.483	-0.69734	5.17368
694	0.483697	-0.696643	5.17465
695	0.484394	-0.695946	5.17562
